"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Galio","Middle",7,"21.9%","12.5%","34.4%","57%","57%",21,14,62,5.9,"70.9%","20.9%","43%",-240,-144,-12.1,8.5,"25.2%",391,"19.8%","21.1%",0.41,0.1
"Gangplank","Top",1,"3.1%","18.8%","21.9%","0%","100%",0,2,5,2.5,"71.4%","25.0%","100%",-1153,-380,-30,8,"24.9%",327,"26.2%","22.7%",0.4,0.14
"Gnar","Top",2,"6.3%","6.3%","12.5%","0%","50%",2,7,2,0.6,"44.4%","17.9%","50%",199,266,6,9,"27.6%",507,"27.1%","24.6%",0.45,0.07
"Gragas","Jungle",9,"28.1%","43.8%","90.6%","56%","22%",20,19,56,4,"72.4%","21.8%","56%",215,169,-0.7,4.7,"10.2%",320,"18.6%","16.7%",0.47,0.36
"Gragas","Support",5,"15.6%","43.8%","90.6%","40%","20%",7,9,31,4.2,"67.9%","18.8%","0%",-197,-248,-13,0.8,"2.5%",229,"14.2%","9.1%",1.45,0.37
"Gragas","Top",1,"3.1%","43.8%","90.6%","0%","0%",0,1,8,8,"72.7%","11.1%","0%",-485,-541,-27,7.5,"25.5%",308,"19.3%","19.2%",0.62,0.05
"Graves","Jungle",2,"6.3%","0.0%","6.3%","50%","100%",3,4,11,3.5,"66.7%","17.4%","0%",-122,260,-4.5,5.6,"15.9%",364,"20.5%","19.1%",1,0.49
"Irelia","Middle",11,"34.4%","25.0%","65.6%","73%","36%",40,23,54,4.1,"64.8%","24.0%","18%",-95,22,-0.8,8.8,"25.0%",340,"20.6%","23.3%",0.52,0.2
"Irelia","Top",2,"6.3%","25.0%","65.6%","50%","100%",10,8,14,3,"72.7%","33.3%","50%",-149,-187,-4.5,8.4,"24.1%",421,"24.8%","26.3%",0.37,0.1
"Jarvan IV","Jungle",2,"6.3%","0.0%","6.3%","0%","50%",1,6,4,0.8,"83.3%","24.0%","0%",-343,5,-1,4.1,"10.9%",121,"9.5%","15.3%",0.39,0.44
"Jax","Top",2,"6.3%","0.0%","6.3%","0%","100%",1,5,3,0.8,"25.0%","20.0%","0%",-133,5,-4.5,8.8,"29.6%",271,"18.3%","22.5%",0.33,0.1
"Jayce","Middle",2,"6.3%","18.8%","34.4%","50%","100%",4,4,21,6.3,"86.2%","15.4%","50%",373,153,9.5,8.9,"23.4%",644,"30.3%","21.9%",0.52,0.25
"Jayce","Top",3,"9.4%","18.8%","34.4%","100%","100%",5,5,24,5.8,"63.0%","19.2%","0%",459,301,21,9.5,"25.8%",506,"26.5%","23.2%",0.5,0.24
"Jhin","ADC",2,"6.3%","0.0%","6.3%","0%","50%",10,9,13,2.6,"82.1%","20.0%","0%",-232,79,1.5,9.3,"31.6%",871,"39.0%","28.4%",0.35,0.35
"Kai'Sa","ADC",19,"59.4%","25.0%","84.4%","47%","21%",95,30,77,5.7,"73.2%","15.1%","11%",18,-21,2.7,10,"31.8%",556,"31.9%","28.3%",0.35,0.43
"Kayn","Jungle",1,"3.1%","0.0%","3.1%","0%","100%",3,8,9,1.5,"75.0%","30.8%","0%",-78,25,1,4.2,"11.2%",242,"12.5%","15.7%",0.4,0.29
"Kennen","ADC",1,"3.1%","3.1%","6.3%","100%","100%",7,1,8,15,"88.2%","14.3%","100%",401,394,0,9.8,"27.0%",433,"31.5%","25.3%",0.43,0.53
"Kindred","Jungle",3,"9.4%","18.8%","28.1%","67%","100%",8,5,21,5.8,"69.0%","27.8%","33%",-187,-329,-2,5.4,"14.3%",229,"13.3%","19.2%",0.4,0.58
