"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Cho'Gath","Top",1,"0.3%","0.0%","0.3%","100%","100%",3,1,5,8,"50.0%","25.0%","-","-","-","-",10.4,"-",428,"20.4%","24.8%",0.45,0.23
"Darius","Top",4,"1.2%","0.0%","1.2%","25%","100%",15,16,10,1.6,"62.5%","26.2%","-","-","-","-",8,"-",418,"23.2%","23.6%",0.28,0.18
"Diana","Jungle",2,"0.6%","0.3%","0.9%","0%","100%",7,6,9,2.7,"76.2%","18.2%","-","-","-","-",6.7,"-",446,"24.6%","21.2%",0.32,0.3
"Draven","ADC",13,"4.0%","13.9%","17.9%","54%","77%",61,30,54,3.8,"67.3%","18.1%","-","-","-","-",9.3,"-",550,"28.8%","29.3%",0.44,0.3
"Elise","Jungle",3,"0.9%","1.2%","2.2%","67%","100%",9,9,18,3,"65.9%","28.1%","-","-","-","-",5.4,"-",448,"20.2%","18.7%",0.99,0.62
"Ezreal","ADC",3,"0.9%","0.3%","1.2%","33%","100%",18,8,10,3.5,"82.4%","17.8%","-","-","-","-",9,"-",639,"29.9%","27.5%",0.47,0.32
"Fiora","Top",11,"3.4%","5.9%","9.3%","55%","82%",45,20,33,3.9,"46.7%","15.2%","-","-","-","-",9.1,"-",597,"26.8%","25.3%",0.41,0.15
"Galio","Middle",1,"0.3%","0.0%","0.6%","0%","100%",2,6,5,1.2,"70.0%","24.0%","-","-","-","-",6.1,"-",228,"12.8%","19.5%",0.24,0.08
"Galio","Support",1,"0.3%","0.0%","0.6%","100%","100%",1,4,14,3.8,"93.8%","28.6%","-","-","-","-",1.1,"-",246,"10.1%","10.6%",1.71,0.03
"Gangplank","Top",3,"0.9%","0.9%","1.9%","33%","33%",16,15,12,1.9,"70.0%","31.3%","-","-","-","-",7,"-",816,"31.7%","26.8%",0.4,0.07
