year,title,genre,format,CSM target_age,imdb_rating,slope_(1/f),aspect_ratio,dur_(min),shots,ASL,Luminance,Motion,clutter,saturation,char/shot,ave_scale,narr_shifts,%intertitles,lum_w/_titles,mo_w/_titles,clut_w/_titles
1950,King Solomon's Mines,adventure,live,,6.9,0.31,1.37,101,1129,5.4,135,0.92,0.08,,,,,,,,
1950,Sunset Boulevard,drama,live,,8.6,0.26,1.37,108,409,15.8,106,0.94,0.07,,,,,,,,
1955,Battle Cry,action,live,,6.5,0.25,2.55,146,916,9.6,131,0.89,0.09,,2.78,,,,,,
1955,East of Eden,drama,live,,8.1,0.36,2.55,114,686,9.9,107,0.94,0.08,,2.27,,,,,,
1955,Lady and the Tramp,animation,animation,,7.4,0.39,1.37,73,936,4.7,126,0.91,0.07,,,,,,,,
1955,Ladykillers,comedy,live,,8,0.62,1.66,88,688,7.7,98,0.92,0.07,,,,,,,,
1955,Mr Roberts,comedy,live,,7.8,0.00,2.55,120,601,12.0,141,0.94,0.08,,,,,,,,
1955,Night of the Hunter,drama,live,,8.1,0.58,1.66,91,730,7.5,107,0.92,0.07,,,,,,,,
1955,Rebel w/o a Cause,drama,live,,7.9,0.88,2.55,110,865,7.6,99,0.89,0.07,,,,,,,,
1955,Seven Year Itch,comedy,live,,7.3,0.03,2.55,101,231,26.2,130,0.95,0.09,,1.64,,,,,,
1955,To Catch a Thief,drama,live,,7.5,0.16,1.85,104,985,6.4,109,0.90,0.07,,,,,,,,
1955,Touble with Harry,comedy,live,,7.1,0.11,1.5,99,697,8.5,117,0.94,0.09,,,,,,,,
1960,Butterfield 8,drama,live,,6.2,0.28,2.35,106,553,11.5,109,0.93,0.07,,,,,,,,
1960,*Psycho,drama,live,,8.5,0.45,1.85,106,989,6.5,101,0.92,0.07,,,,,,,,
1960,Inherit the wind,drama,live,,8.1,0.18,1.66,126,502,15.1,124,0.93,0.08,,3.14,4.05,62,,,,
1960,Magnificent Seven,adventure,live,,7.8,0.42,2.35,126,1109,6.8,130,0.92,0.08,,,,,,,,
1960,Ocean's Eleven,comedy,live,,6.3,0.43,2.35,123,602,12.3,124,0.93,0.07,,2.25,3.28,102,,,,
1960,Peeping tom,drama,live,,7.8,0.16,1.66,100,654,9.2,96,0.90,0.07,,,,,,,,
1960,*Pollyanna,drama,live,,7.3,0.15,1.85,134,1154,7.1,130,0.91,0.06,,,,,,,,
1960,Swiss Family Robinson,adventure,live,,7,0.62,2.35,124,1628,4.6,121,0.88,0.09,,,,,,,,
1960,The Apartment,comedy,live,,8.3,0.26,2.35,123,458,16.2,122,0.94,0.08,,,,,,,,
1960,The Time Machine,adventure,live,,7.5,0.29,1.85,101,997,6.0,118,0.89,0.08,,,,,,,,
1965,*The Loved One,comedy,live,,7.3,0.17,1.85,120,1051,6.9,136,0.91,0.05,,,,,,,,
1965,Flight of the Phoenix,adventure,live,,7.5,0.81,1.85,141,1735,4.9,116,0.92,0.06,,,,,,,,
